;;;;;;;;;"Supplier";"Supplier";"Supplier";"Supplier";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Auditor";"Reviewer";"Member";"Member";"Member"
;;;;;;;;;"Self-assessment answer";"Self-assessment answer";"Self-assessment answer";"Additional Guidance";"Evaluation";"Evaluation";"Evaluation";"Evaluation";"Additional Guidance";"Findings";"Findings";"Findings";"Points of excellence";"Comments";"Signature";"Signature";"Additional Guidance"
"Schema Base [SB]";"SB: Description";"SB: Attribute Name";"SB: Attribute Type";"SB: PII";"Classification";"Format Overlay";"Label Overlay";"Encode Overlay";"Entry Overlay";"Information Overlay";"Source Overlay";"Information Overlay";"Entry Overlay";"Information Overlay";"Source Overlay";"Review Overlay";"Information Overlay";"Entry Overlay";"Information Overlay";"Review Overlay";"Review Overlay";"Review Overlay";"Information Overlay";"Source Overlay";"Information Overlay"
;;;;;;;"en_US";"en_US";"en_US";"en_US";;"en_US";"en_US";"en_US";;"en_US";"en_US";"en_US";"en_US";"en_US";"en_US";"en_US";"en_US";;"en_US"
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"auditReportNumber";"Text";"Y";"GICS:35202010";;"Auditor and Audit Report Information | Audit report number:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"auditReportOwner";"Text";"Y";"GICS:35202011";;"Auditor and Audit Report Information | Report owner:";"utf-8";;;;;;"The company that sponsors / pays for the audit. If a PSCI Member, please remove the name before the report is uploaded to the PSCI audit sharing platform.";;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"auditDate";"Date";"Y";"GICS:35202012";"DD/MM/YYYY";"Auditor and Audit Report Information | Date of audit:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"auditType";"Text";;"GICS:35202013";;"Auditor and Audit Report Information | Type of audit:";"utf-8";;;;;"Initial|Follow-up|Other";;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"auditTypeSpecify";"Text";"Y";"GICS:35202014";;"Auditor and Audit Report Information | If other, please specify:";"utf-8";;;;;;;;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"previousAuditDate";"Date";"Y";"GICS:35202015";"DD/MM/YYYY";"Auditor and Audit Report Information | Date of previous audit:";"utf-8";;;;;;"Date of previous audit: If applicable";;;;;;;;;;;
"AuditOverview";"A schema to be used by audit contractors and suppliers to capture general audit report information, including the contact details of all audit participants";"previousAuditType";"Text";;"GICS:35202016";;"Auditor and Audit Report Information | Type of previous audit:";"utf-8";;;;;"Initial|Follow-up|Other";"Type of previous audit: If applicable";;;;;;;;;;;
